round_shots,200,100,100
round_queries,200,300,5900
round_k,1,6,29
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,100,100,100
round_queries,100,300,5300
round_k,1,5,26
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,5900
round_k,1,6,29
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,300,200,100
round_queries,300,600,6100
round_k,1,6,30
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,5500
round_k,1,5,27
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,6,25
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,400,100
round_queries,400,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,6100
round_k,1,6,30
round_shots,400,100
round_queries,400,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,3900
round_k,1,5,19
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,3700
round_k,1,4,18
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,200,100
round_queries,200,600,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,100
round_queries,200,1700
round_k,1,8
round_shots,300,100,100
round_queries,300,300,6700
round_k,1,6,33
round_shots,300,100,100
round_queries,300,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,100,100,100
round_queries,100,300,4700
round_k,1,5,23
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,400,100
round_queries,400,1700
round_k,1,8
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,200,100,100
round_queries,200,300,6500
round_k,1,6,32
round_shots,300,200,100
round_queries,300,600,6100
round_k,1,6,30
round_shots,300,100,100
round_queries,300,300,5900
round_k,1,6,29
round_shots,300,100,100
round_queries,300,300,4100
round_k,1,5,20
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,100,100,100
round_queries,100,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,100,100,100
round_queries,100,300,4700
round_k,1,5,23
round_shots,200,100,100
round_queries,200,300,5900
round_k,1,6,29
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,400,200,100
round_queries,400,600,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,100,100,100
round_queries,100,300,6300
round_k,1,6,31
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,400,100,100
round_queries,400,300,5100
round_k,1,5,25
round_shots,200,200,100
round_queries,200,600,5300
round_k,1,6,26
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,100,200,100
round_queries,100,600,6300
round_k,1,6,31
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,6500
round_k,1,6,32
round_shots,100,100,100
round_queries,100,300,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,5300
round_k,1,5,26
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,5300
round_k,1,5,26
round_shots,200,200,100
round_queries,200,600,6500
round_k,1,6,32
round_shots,200,200,100
round_queries,200,600,5300
round_k,1,6,26
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,400,100,100
round_queries,400,300,3500
round_k,1,4,17
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,6700
round_k,1,6,33
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,6100
round_k,1,6,30
round_shots,200,100,100
round_queries,200,300,6300
round_k,1,6,31
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,300,100,100
round_queries,300,300,3700
round_k,1,4,18
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,6,25
round_shots,200,100,100
round_queries,200,300,3500
round_k,1,4,17
round_shots,300,100,100
round_queries,300,300,6100
round_k,1,6,30
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,100,200,100
round_queries,100,600,5900
round_k,1,6,29
round_shots,400,100,100
round_queries,400,300,6300
round_k,1,6,31
round_shots,300,100,100
round_queries,300,300,5100
round_k,1,5,25
round_shots,100,100,100
round_queries,100,300,5700
round_k,1,5,28
round_shots,200,200,100
round_queries,200,600,5300
round_k,1,6,26
round_shots,200,100,100
round_queries,200,300,3500
round_k,1,4,17
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
round_shots,100,100,100
round_queries,100,300,5300
round_k,1,5,26
round_shots,200,200,100
round_queries,200,600,5300
round_k,1,6,26
round_shots,200,200,100
round_queries,200,600,5100
round_k,1,6,25
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,5900
round_k,1,6,29
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,500,100,100
round_queries,500,300,5900
round_k,1,6,29
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,3900
round_k,1,4,19
round_shots,200,100,100
round_queries,200,300,6300
round_k,1,6,31
round_shots,100,100,100
round_queries,100,300,4100
round_k,1,5,20
round_shots,100,100,100
round_queries,100,300,6100
round_k,1,6,30
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,200,100
round_queries,100,600,6300
round_k,1,6,31
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,200,100
round_queries,200,600,5900
round_k,1,6,29
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,300,100,100
round_queries,300,300,6100
round_k,1,6,30
round_shots,200,200,100
round_queries,200,600,5900
round_k,1,6,29
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,300,200,100
round_queries,300,600,6100
round_k,1,6,30
round_shots,300,100,100
round_queries,300,300,5500
round_k,1,5,27
round_shots,100,100,100
round_queries,100,300,5900
round_k,1,6,29
round_shots,100,100,100
round_queries,100,300,6100
round_k,1,6,30
round_shots,100,100,100
round_queries,100,300,3500
round_k,1,4,17
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,6700
round_k,1,6,33
round_shots,200,100,100
round_queries,200,300,4100
round_k,1,5,20
round_shots,300,100,100
round_queries,300,300,5900
round_k,1,6,29
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,6300
round_k,1,6,31
round_shots,200,100
round_queries,200,1700
round_k,1,8
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,200,100
round_queries,200,600,6300
round_k,1,6,31
round_shots,400,100
round_queries,400,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,5500
round_k,1,5,27
round_shots,100,100,100
round_queries,100,300,6300
round_k,1,6,31
round_shots,200,200,100
round_queries,200,600,6500
round_k,1,6,32
round_shots,100,100
round_queries,100,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,6300
round_k,1,6,31
round_shots,200,200,100
round_queries,200,600,5100
round_k,1,6,25
round_shots,400,200,100
round_queries,400,600,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,100,100,100
round_queries,100,300,6300
round_k,1,6,31
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,6100
round_k,1,6,30
round_shots,300,100,100
round_queries,300,300,5900
round_k,1,6,29
round_shots,100,100,100
round_queries,100,300,6100
round_k,1,6,30
round_shots,200,100,100
round_queries,200,300,4900
round_k,1,5,24
round_shots,100,100,100
round_queries,100,300,5300
round_k,1,5,26
round_shots,200,100,100
round_queries,200,300,6500
round_k,1,6,32
round_shots,100,100,100
round_queries,100,300,5900
round_k,1,6,29
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,300,100,100
round_queries,300,300,4500
round_k,1,5,22
round_shots,200,100,100
round_queries,200,300,4700
