round_queries,300,1500
round_k,1,7
round_shots,600,100
round_queries,600,4100
round_k,4,20
round_shots,100,100,100
round_queries,100,300,3900
round_k,1,5,19
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,100,100,100
round_queries,100,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,6300
round_k,1,6,31
round_shots,300,100,100
round_queries,300,300,6100
round_k,1,6,30
round_shots,300,100,100
round_queries,300,300,4700
round_k,1,5,23
round_shots,400,200,100
round_queries,400,600,6300
round_k,1,6,31
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,100
round_queries,200,1500
round_k,1,7
round_shots,400,100,100
round_queries,400,300,6300
round_k,1,6,31
round_shots,400,100
round_queries,400,1500
round_k,1,7
round_shots,200,100,100
round_queries,200,300,3900
round_k,1,5,19
round_shots,100,100,100
round_queries,100,300,5100
round_k,1,5,25
round_shots,100,100,100
round_queries,100,300,4900
round_k,1,5,24
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,300,100,100
round_queries,300,300,6300
round_k,1,6,31
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,100,100,100
round_queries,100,300,6100
round_k,1,6,30
round_shots,300,100
round_queries,300,1500
round_k,1,7
round_shots,400,100,100
round_queries,400,300,4900
round_k,1,5,24
round_shots,300,100,100
round_queries,300,300,5100
round_k,1,5,25
round_shots,200,100,100
round_queries,200,300,5100
round_k,1,5,25
round_shots,200,200,100
round_queries,200,600,6500
round_k,1,6,32
round_shots,200,100,100
round_queries,200,300,5300
round_k,1,5,26
round_shots,300,100,100
round_queries,300,300,4900
round_k,1,5,24
round_shots,200,100,100
round_queries,200,300,4700
round_k,1,5,23
