round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
round_k,0.1,1,3,7,15,32,69,149,322,695,1500,3238,6990,15090,32577
round_shots,400,200,100,100,100,100,100,100,100,100,100,100,100,100,100
round_queries,600,700,1500,3100,6500,13900,29900,64500,139100,300100,647700,1398100,3018100,6515500
